063966	P332511				19	 iti ezem-<sup>d</sup>Nin-a-zu
162710	P329447					
162710	P329447				1	 3 guruš šidim
162710	P329447				2	 lu<sub>2</sub> Tu-li<sub>2</sub>-um<sup>ki</sup>
162710	P329447				3	 1 guruš šidim
162710	P329447				4	 lu<sub>2</sub> Di<sub>3</sub>-ma-at-Kal<sub>2</sub>-bu-um<sup>ki</sup>
162710	P329447				5	 3 [guruš šid]im
162710	P329447				6	 <sup>⌈</sup>arad<sub>2</sub><sup>⌉</sup> e<sub>2</sub>-a-me-eš<sub>2</sub>
162710	P329447				7	 ------------
162710	P329447				8	 šu-nigin<sub>2</sub> 7 guruš šidim
162710	P329447				9	 ša<sub>3</sub>-bi-ta
162710	P329447				10	 5 guruš šidim
162710	P329447				11	 gi-sal e<sub>2</sub>-til-la gul-de<sub>3</sub> / gub-ba
162710	P329447				12	 1 guruš šidim
162710	P329447		r.		1	 GIN<sub>2</sub>-bal <sup>giš</sup>kiri<sub>6</sub> Zabalam<sub>4</sub><sup>ki</sup> / du<sub>3</sub>-de<sub>3</sub> gub-ba (=MUŠ<sub>3</sub>.ZA.UNUG)
162710	P329447				2	 1 guruš šidim
162710	P329447				3	 ma šub-ba sig<sub>4</sub> gub-ba
162710	P329447				4	 ------------
162710	P329447				5	 šu-nigin<sub>2</sub> 7 guruš šidim
162710	P329447				6	 zi-ga-am<sub>3</sub>
162710	P329447				7	 gurum<sub>2</sub> ak šidim-e-ne
162710	P329447				8	 giri<sub>3</sub> <sup>d</sup>IŠKUR-ILLAT šabra
162710	P329447				9	 ša<sub>3</sub> GAR-ša-an-na<sup>ki</sup>
162710	P329447				10	 iti u<sub>5</sub>-bi<sub>2</sub>-gu<sub>7</sub>
162710	P329447				11	 mu us<sub>2</sub>-sa bad<sub>3</sub> mar-tu / ba-du<sub>3</sub> mu us<sub>2</sub>-sa-bi
162710	P329447		l.ed.		1	 u<sub>4</sub>-2-kam
162711	P322812					
162711	P322812				1	 [3] guruš šidim
162711	P322812				2	 lu<sub>2</sub> Tu-li<sub>2</sub>-um<sup>ki</sup>
162711	P322812				3	 [1] guruš šidim
162711	P322812				4	 lu<sub>2</sub> Di<sub>3</sub>-ma-at-Kal<sub>2</sub>-bu-um<sup>ki</sup>
162711	P322812				5	 2 guruš šidim
162711	P322812				6	 l[u<sub>2</sub>] I-zi-in-Er<sub>3</sub>-ra<sup>ki</sup>
162711	P322812				7	 [2] guruš šidim
162711	P322812				8	 lu<sub>2</sub> <sup>i<sub>3</sub>-si</sup>Isin<sub>2</sub><sup>ki</sup>
162711	P322812				9	 3 guruš šidim arad<sub>2</sub> e<sub>2</sub>-a
162711	P322812				10	 ------------
162711	P322812				11	 šu-nigin<sub>2</sub> 11</sub> guruš šidim
162711	P322812				12	 ša<sub>3</sub>-bi-ta
162711	P322812				13	 8 guruš šidim
162711	P322812				14	 gi-sal e<sub>2</sub>-til-la gul-de<sub>3</sub>
162711	P322812				15	 1 guruš šidim
162711	P322812		r.		1	 ma šub-ba gub-ba
162711	P322812				2	 1 guruš šidim
162711	P322812				3	 GIN<sub>2</sub>-bal <sup>giš</sup>kiri<sub>6</sub> Zabalam<sub>4</sub>/<sup>ki</sup> du<sub>3</sub>-a (=MUŠ<sub>3</sub>.ZA.UNUG)
162711	P322812				4	 1 guruš šidim a<sub>2</sub>-ag<sub>2</sub> ki Šu-Kab-ta-/še<sub>3</sub> de<sub>6</sub>-a
162711	P322812				5	 šu-nigin<sub>2</sub> 11</sub> guruš šidim
162711	P322812				6	 zi-ga-am<sub>3</sub> gurum<sub>2</sub> ak
162711	P322812				7	 giri<sub>3</sub> <sup>d</sup>IŠKUR-ILLAT šabra
162711	P322812				8	 [š]a<sub>3</sub> GAR-ša-an-na<sup>ki</sup>
162711	P322812				9	 i[ti] u<sub>5</sub>-bi<sub>2</sub>-gu<sub>7</sub>
162711	P322812				10	 mu <sup>d</sup>Šu-<sup>d</sup>Suen lugal-/e na-du<sub>3</sub>-a mah <sup>d</sup>En-lil<sub>2</sub> / <sup>d</sup>Nin-lil<sub>2</sub>-ra mu-ne-du<sub>3</sub>
162711	P322812		l.ed.		1	 u<sub>4</sub>-4-kam
162712	P323842					
162712	P323842				1	 3 guruš šidim lu<sub>2</sub> Tu-l[i<sub>2</sub>-um<sup>ki</sup>]
162712	P323842				2	 1 guruš šidim lu<sub>2</sub> Di<sub>3</sub>-ma-at-Kal<sub>2</sub>-/bu-um<sup>ki</sup>
162712	P323842				3	 2 [guruš šidi]m lu<sub>2</sub> I-zi-in-Er<sub>3</sub>-ra<sup>ki</sup>
162712	P323842				4	 2 guruš šidim lu<sub>2</sub> <sup>i<sub>3</sub>-si</sup>Isin<sub>2</sub><sup>ki</sup>
162712	P323842				5	 3 guruš šidim arad<sub>2</sub> e<sub>2</sub>-a
162712	P323842				6	 ------------
162712	P323842				7	 šu-nigin<sub>2</sub> 11</sub> guruš šidim
162712	P323842				8	 ša<sub>3</sub>-bi-ta
162712	P323842				9	 8 guruš šidim
162712	P323842				10	 gi-sal e<sub>2</sub>-til-la gul-de<sub>3</sub> / gub-ba
162712	P323842				11	 1 guruš šidim
162712	P323842				12	 ma šub-ba sig<sub>4</sub> gub-ba
162712	P323842				13	 1 guruš šidim 
162712	P323842		r.		1	 GIN<sub>2</sub>-bal <sup>giš</sup>kiri<sub>6</sub> Zabalam<sub>4</sub><sup>!</sup><sup>ki</sup> / du<sub>3</sub>-de<sub>3</sub> gub-ba (=MUŠ<sub>3</sub>.ZA.<simbolo>&#60</simbolo>UNUG<simbolo>&#62</simbolo><sup>ki</sup>)
162712	P323842				2	 1 guruš šidim a<sub>2</sub>-ag<sub>2</sub>-ga<sub>2</sub> / ki Šu-Kab-ta<sub>2</sub>-še<sub>3</sub> de<sub>6</sub>-a
162712	P323842				3	 ------------
162712	P323842				4	 šu-nigin<sub>2</sub> 11</sub> guruš šidim
162712	P323842				5	 zi-ga-am<sub>3</sub>
162712	P323842				6	 gurum<sub>2</sub> ak šidim-e-ne
